epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3113.54,0.97206,0.59133,0.96701,0.81804,0.83572,0.84015,0.519,1.44362,0.98073,1.20602,0.002674,0.002674,0.002674
113,3141.36,0.98223,0.59545,0.97157,0.80683,0.84933,0.85122,0.51636,1.4497,0.96569,1.20994,0.002608,0.002608,0.002608
114,3168.56,0.94688,0.58238,0.96368,0.8242,0.85007,0.8537,0.5169,1.46102,0.97969,1.22249,0.002542,0.002542,0.002542
115,3196.08,0.96603,0.5868,0.96679,0.80084,0.82112,0.81687,0.50062,1.46474,1.01084,1.22112,0.002476,0.002476,0.002476
116,3223.88,0.962,0.58358,0.97309,0.81232,0.83969,0.85475,0.5299,1.4556,0.99341,1.21235,0.00241,0.00241,0.00241
117,3251.26,0.9607,0.58363,0.97614,0.80134,0.8476,0.84563,0.51043,1.46193,0.98381,1.23283,0.002344,0.002344,0.002344
118,3278.3,0.95198,0.57366,0.96583,0.8066,0.85249,0.85547,0.51177,1.45692,0.98402,1.21885,0.002278,0.002278,0.002278
119,3306.21,0.95257,0.57569,0.96708,0.79943,0.83902,0.84629,0.51506,1.45458,0.96798,1.22081,0.002212,0.002212,0.002212
120,3335.53,0.94842,0.56542,0.96823,0.80227,0.84942,0.84652,0.51002,1.45458,0.97663,1.23143,0.002146,0.002146,0.002146
121,3363.41,0.95399,0.57249,0.96099,0.81454,0.84491,0.85164,0.51542,1.45513,0.9496,1.22088,0.00208,0.00208,0.00208
122,3390.77,0.95539,0.576,0.96495,0.81838,0.80812,0.83451,0.49881,1.45668,1.03705,1.22531,0.002014,0.002014,0.002014
123,3417.78,0.92121,0.56406,0.95944,0.81408,0.82856,0.84779,0.51362,1.44798,0.98462,1.22109,0.001948,0.001948,0.001948
124,3444.48,0.92604,0.55586,0.95913,0.83383,0.83254,0.85335,0.52759,1.43329,0.96286,1.21479,0.001882,0.001882,0.001882
125,3471.36,0.93398,0.56327,0.95387,0.80996,0.82269,0.84427,0.51857,1.44743,0.96393,1.22311,0.001816,0.001816,0.001816
126,3498.62,0.90411,0.53469,0.94696,0.81494,0.8424,0.84851,0.52138,1.45191,0.9563,1.21992,0.00175,0.00175,0.00175
127,3525.74,0.89657,0.54386,0.94069,0.84285,0.81797,0.85116,0.52799,1.44134,0.95122,1.21923,0.001684,0.001684,0.001684
128,3553.24,0.91367,0.53865,0.95075,0.82341,0.84412,0.85266,0.52402,1.44889,0.95063,1.21802,0.001618,0.001618,0.001618
129,3580.26,0.91721,0.54547,0.95521,0.81394,0.84431,0.85076,0.51363,1.45576,0.98552,1.23009,0.001552,0.001552,0.001552
